self.Clock,C1_W1,C1W2,C1W3,C2W2,C3W3,Part1,Part2,Part3,inspector1 block time,inspector2_C2 block time,inspector2_C3 block time,Total Block Time,self.w1_idle,self.w2_idle,self.w3_idle,Total Idle Time(workstation),self.w1_aval,self.w2_aval,self.w3_aval,Event Queue
3998.958011684026,0,0,0,2,0,139,72,80,0,227.03762853223725,310.4269477372245,537.4645762694618,2050.28738755835,2053.5962923059774,1973.754947484717,6077.638627349057,False,True,True,"(3998.958011684026, w1_start) (4001.0719817204244, ins2c3_end) (4008.766820720537, ins1c1_end) (5000, system end) "
3999.773939432453,0,0,0,2,0,140,72,80,0,227.03762853223725,310.4269477372245,537.4645762694618,2051.103315306777,2054.4122200544043,1974.5708752331439,6080.0864105943365,True,True,True,"(3999.773939432453, w1_end) (4001.0719817204244, ins2c3_end) (4008.766820720537, ins1c1_end) (5000, system end) "
4001.0719817204244,0,0,0,2,1,140,72,80,0,227.03762853223725,310.4269477372245,537.4645762694618,2052.4013575947483,2055.7102623423757,1975.8689175211152,6083.980537458252,True,True,True,"(4001.0719817204244, ins2c3_end) (4008.766820720537, ins1c1_end) (5000, system end) "
4001.0719817204244,0,0,0,2,1,140,72,80,0,227.03762853223725,310.4269477372245,537.4645762694618,2052.4013575947483,2055.7102623423757,1975.8689175211152,6083.980537458252,True,True,True,"(4001.0719817204244, ins2_start) (4008.766820720537, ins1c1_end) (5000, system end) "
4004.878194900691,0,0,0,2,2,140,72,80,0,227.03762853223725,310.4269477372245,537.4645762694618,2056.207570775015,2059.5164755226424,1979.675130701382,6095.399176999053,True,True,True,"(4004.878194900691, ins2c3_end) (4008.766820720537, ins1c1_end) (5000, system end) "
4004.878194900691,0,0,0,2,2,140,72,80,0,227.03762853223725,310.4269477372245,537.4645762694618,2056.207570775015,2059.5164755226424,1979.675130701382,6095.399176999053,True,True,True,"(4004.878194900691, ins2_start) (4008.766820720537, ins1c1_end) (5000, system end) "
4008.766820720537,0,0,0,1,2,140,72,80,0,227.03762853223725,310.4269477372245,537.4645762694618,2060.096196594861,2059.5164755226424,1983.5637565212278,6103.176428638744,True,False,True,"(4008.766820720537, ins1c1_end) (4024.181205781846, ins2c2_end) (5000, system end) "
4008.766820720537,0,0,0,1,2,140,72,80,0,227.03762853223725,310.4269477372245,537.4645762694618,2060.096196594861,2059.5164755226424,1983.5637565212278,6103.176428638744,True,False,True,"(4008.766820720537, ins1c1_start) (4008.766820720537, w2_start) (4024.181205781846, ins2c2_end) (5000, system end) "
4008.766820720537,0,0,0,1,2,140,72,80,0,227.03762853223725,310.4269477372245,537.4645762694618,2060.096196594861,2059.5164755226424,1983.5637565212278,6103.176428638744,True,False,True,"(4008.766820720537, w2_start) (4024.181205781846, ins2c2_end) (4033.5473238245077, ins1c1_end) (5000, system end) "
4010.4868673649084,0,0,0,1,2,140,73,80,0,227.03762853223725,310.4269477372245,537.4645762694618,2061.8162432392323,2061.236522167014,1985.2838031655992,6108.33656857186,True,True,True,"(4010.4868673649084, w2_end) (4024.181205781846, ins2c2_end) (4033.5473238245077, ins1c1_end) (5000, system end) "
4024.181205781846,0,0,0,2,2,140,73,80,0,227.03762853223725,310.4269477372245,537.4645762694618,2075.51058165617,2074.9308605839515,1998.9781415825369,6149.4195838226715,True,True,True,"(4024.181205781846, ins2c2_end) (4033.5473238245077, ins1c1_end) (5000, system end) "
4024.181205781846,0,0,0,2,2,140,73,80,0,227.03762853223725,310.4269477372245,537.4645762694618,2075.51058165617,2074.9308605839515,1998.9781415825369,6149.4195838226715,True,True,True,"(4024.181205781846, ins2_start) (4033.5473238245077, ins1c1_end) (5000, system end) "
4026.452414294695,0,0,0,2,2,140,73,80,0,227.03762853223725,317.6218572670373,544.6594857992745,2077.7817901690187,2077.2020690968,2001.2493500953856,6156.233209361218,True,True,True,"(4026.452414294695, ins2c3_end) (4033.5473238245077, ins1c1_end) (5000, system end) "
4033.5473238245077,0,0,0,2,1,140,73,80,0,227.03762853223725,317.6218572670373,544.6594857992745,2084.8766996988315,2084.296978626613,2001.2493500953856,6170.423028420843,True,True,False,"(4033.5473238245077, ins1c1_end) (4033.6473238245076, ins2c3_end) (5000, system end) "
4033.5473238245077,0,0,0,2,1,140,73,80,0,227.03762853223725,317.6218572670373,544.6594857992745,2084.8766996988315,2084.296978626613,2001.2493500953856,6170.423028420843,True,True,False,"(4033.5473238245077, ins1c1_start) (4033.5473238245077, w3_start) (4033.6473238245076, ins2c3_end) (5000, system end) "
4033.5473238245077,0,0,0,2,1,140,73,80,0,227.03762853223725,317.6218572670373,544.6594857992745,2084.8766996988315,2084.296978626613,2001.2493500953856,6170.423028420843,True,True,False,"(4033.5473238245077, w3_start) (4033.6473238245076, ins2c3_end) (4037.6075753013897, ins1c1_end) (5000, system end) "
