ID,seed,simulation time,warmup period,Part1,Part2,Part3,inspector1 block time,inspector2 block time,inspector3 block time,Total Block Time,workstation1 idle time,workstation2 idle time,workstation3 idle time,Total Idle Time(workstation)
97,97,5000,1000,172,104,106,0,67.2828989667239,149.16546408253566,216.44836304925957,2825.6990639759933,2742.860387610054,3043.827751104418,8612.387202690465
98,98,5000,1000,196,91,97,3.482935844750955,219.77181727965853,144.36375445682393,367.6185075812334,2630.5050726864706,2901.060878365864,2940.2575864538812,8471.823537506216
99,99,5000,1000,194,107,105,10.199001625149322,373.2741108210182,73.24412300194786,456.7172354481154,2667.88819062457,2440.119547365295,3039.8061257674713,8147.813863757336
100,100,5000,1000,162,102,82,0,358.35854006845466,69.43234556190873,427.7908856303634,2831.407784600125,2714.602979539724,3157.143947645175,8703.154711785024
101,101,5000,1000,170,85,102,0,405.0684417835289,540.8998826681209,945.9683244516498,2714.8762926758072,2917.4202469305287,2864.6125282062076,8496.909067812543
102,102,5000,1000,177,84,98,10.831766817540483,168.35487838840118,190.5349794330475,369.72162463898917,2588.034497236604,2948.4620688600667,2832.387118514556,8368.883684611226
103,103,5000,1000,170,98,105,7.988327911399892,321.41163826370394,170.03767843774517,499.437644612849,2824.449567325516,2846.6697793594585,2798.8313352135688,8469.950681898543
104,104,5000,1000,178,99,106,10.310991206162726,232.54379854612034,319.69106451749985,562.5458542697829,2590.018877900335,2738.4360879695464,2742.911364253009,8071.366330122891
105,105,5000,1000,204,113,93,0,268.47056319495687,58.45727685477914,326.927840049736,2584.857971752489,2693.7058824439905,2999.8071327863613,8278.370986982842
106,106,5000,1000,187,105,99,16.547022384075035,399.266400186131,213.203805134724,629.0172277049301,2728.7648304826084,2470.3514958103697,2755.0105121231272,7954.126838416106
107,107,5000,1000,172,97,100,0,356.8985405636354,160.3904942766078,517.2890348402432,2832.056225376036,2828.8292124221125,2998.5255301341676,8659.410967932316
108,108,5000,1000,200,81,95,25.14482207025867,75.86082342923692,389.68919127865524,490.69483677815083,2452.5168251373125,2935.214131686079,2936.82434471087,8324.555301534261
109,109,5000,1000,219,109,109,28.741930174548997,172.54896599538893,70.8346476288159,272.1255437987538,2469.5738865532157,2719.4784765094873,2971.1269903005104,8160.1793533632135
110,110,5000,1000,208,94,91,0,106.26056933149198,63.06876327198961,169.3293326034816,2550.665122074908,2710.8815317606145,3114.9429447128377,8376.48959854836
111,111,5000,1000,186,99,96,5.955005012847778,126.99161888122171,102.18552487963598,235.13214877370547,2608.3270812562496,2833.6940695255107,2955.5664840884815,8397.587634870242
112,112,5000,1000,174,101,96,0.18592171226009668,190.63888869610855,92.50233533450796,283.3271457428766,2669.4610814791313,2715.760705472832,3142.334095160936,8527.555882112898
113,113,5000,1000,210,94,98,6.134827091094849,463.989412696252,120.90651258682124,591.0307523741681,2569.0443401988578,2985.346218012013,2901.8331544871517,8456.223712698022
114,114,5000,1000,191,108,95,11.655175555620644,201.83082881562655,10.424693966841687,223.91069833808888,2594.0453683174364,2565.5025734714427,2938.380061903429,8097.928003692308
115,115,5000,1000,173,89,109,9.560320087464106,182.7980642508478,664.744923951585,857.1033082898969,2753.1958638283168,2807.042960765881,2781.1168060151745,8341.355630609372
116,116,5000,1000,185,102,94,10.716647169851512,452.7420153858302,88.42850645627277,551.8871690119545,2687.364407175092,2561.0084424169436,3053.2382162436447,8301.61106583568
117,117,5000,1000,210,109,105,2.5107820051694034,115.61215695665078,180.14637571349544,298.2693146753156,2577.9897612462064,2613.310634937393,2977.4964289511686,8168.796825134768
118,118,5000,1000,184,106,99,6.280089208205368,473.8892161964534,279.5219688062866,759.6912742109454,2713.6985908903584,2583.0874486152247,2972.4315099233095,8269.217549428893
119,119,5000,1000,163,119,99,0,241.05135589247652,5.343210924896539,246.39456681737306,2840.7332886539857,2534.2340029534034,2998.037536842572,8373.00482844996
120,120,5000,1000,162,87,98,0,557.5274925118158,191.95070023733217,749.478192749148,2834.1079704443155,2789.164548244564,2758.2416594938127,8381.514178182691
121,121,5000,1000,196,106,103,0,177.0668548379383,242.71193167361923,419.77878651155754,2471.2936503075243,2803.836846338411,2952.1466461918762,8227.277142837811
122,122,5000,1000,235,105,110,9.438735242508073,204.37456919648776,94.50123955978279,308.3145439987786,2548.660104472616,2625.3679585562736,2824.630232055852,7998.6582950847405
123,123,5000,1000,168,95,94,0,373.7980866243679,346.5833640304677,720.3814506548356,2761.9628639037605,2763.12779510145,2931.4675476226175,8456.55820662783
124,124,5000,1000,208,107,88,0,234.63431586736442,63.472698407909775,298.1070142752742,2652.2256430584084,2911.2290371077,2985.984475862902,8549.439156029011
125,125,5000,1000,183,113,108,9.769559377842143,265.7443655157954,68.93289017535017,344.4468150689877,2734.3226875778482,2653.4967619306544,3059.748495737894,8447.567945246396
126,126,5000,1000,204,90,92,0,324.61319838170425,54.249575167162675,378.8627735488669,2552.4345385340634,2745.566030114849,2884.6375844719205,8182.6381531208335
127,127,5000,1000,180,91,103,1.4595290087281683,124.72106645035137,377.88785248141903,504.0684479404986,2701.1729291280735,3004.0229604224746,2764.5231543149134,8469.719043865462
128,128,5000,1000,191,123,84,0,671.0145971359973,32.93536836491944,703.9499655009167,2664.479144642563,2255.8280046437535,3148.30001765212,8068.607166938436
129,129,5000,1000,213,102,84,0,505.88381064297266,117.76657409876634,623.650384741739,2438.7352169205096,2685.271196465042,3241.8278786135957,8365.834291999148
130,130,5000,1000,175,111,78,22.145472688816426,419.74190943494114,15.644600047375661,457.5319821711332,2489.707811824943,2576.0699045898295,3147.9910796475315,8213.768796062304
131,131,5000,1000,174,90,111,6.116332388166029,16.486666349238703,613.8444731617286,636.4474718991333,2792.191939123447,2874.530016192938,2670.080993640305,8336.80294895669
132,132,5000,1000,217,98,76,2.1756404318698515,356.94810005923864,154.10768220705404,513.2314226981625,2375.3409661562687,2730.5217580674957,3268.03187672367,8373.894600947435
133,133,5000,1000,166,95,114,0,176.85857569245036,756.3557163842579,933.2142920767083,2656.9000643580916,3019.152659011075,2842.7119836280676,8518.764706997234
