ID,seed,simulation time,warmup period,Part1,Part2,Part3,inspector1 block time,inspector2 block time,inspector3 block time,Total Block Time,workstation1 idle time,workstation2 idle time,workstation3 idle time,Total Idle Time(workstation)
38,38,5000,1000,298,14,19,0,0,3515.4891371650674,3515.4891371650674,890.3155289402788,3854.3738238151277,3779.4432811844445,8524.132633939851
39,39,5000,1000,346,28,29,0,323.3284587683397,2702.2590467302834,3025.587505498623,919.5777270241413,3750.378061023502,3716.843947313284,8386.799735360928
40,40,5000,1000,353,15,25,0,83.32825483247598,3240.88571730843,3324.2139721409058,906.7134176680785,3799.8775560288764,3799.6565751815174,8506.247548878473
41,41,5000,1000,316,19,11,0,166.01962082699492,3415.7416272950154,3581.7612481220103,872.4876821251244,3842.546677663875,3913.791642479322,8628.82600226832
42,42,5000,1000,319,10,12,0,764.5036402595451,2767.6657928675986,3532.1694331271437,807.8081851734265,3822.4115435107537,3928.950836540495,8559.170565224675
43,43,5000,1000,358,23,16,0,554.2995963445301,2805.561425862191,3359.861022206721,981.2880375366218,3739.842825012319,3835.617517749681,8556.748380298623
44,44,5000,1000,335,23,26,0,66.04015304753057,3274.8050788992523,3340.845231946783,821.0481428827189,3733.1098235025547,3750.965985473777,8305.12395185905
45,45,5000,1000,330,17,20,0,0,3443.571333688708,3443.571333688708,825.517577379987,3828.5636701029116,3811.2818725108555,8465.363119993754
46,46,5000,1000,344,26,18,0,486.7224506958387,2775.2235536070225,3261.946004302861,945.4782062633806,3739.97958656386,3881.3005419133124,8566.758334740553
47,47,5000,1000,325,25,36,0,0,2892.4864829063868,2892.4864829063868,870.1247867666286,3721.9139843655303,3747.138903035834,8339.177674167993
48,48,5000,1000,403,22,22,0,482.1442875758146,3471.495397567986,3953.6396851438008,1140.09526147319,4730.887265510449,4793.129918187648,10664.112445171286
49,49,5000,1000,356,34,21,0,747.0309567852996,2045.986477958431,2793.0174347437305,838.1315258144132,3650.7723427700503,3839.1705617732396,8328.074430357703
50,50,5000,1000,340,28,18,0,1208.9881469691531,2042.352786414311,3251.340933383464,859.3880768512734,3663.3541458713457,3840.7072180344844,8363.449440757104
